attempt_id,session_id,unit_id,phase,task,llm_mode,selected_option,shown_at_epoch_ms,answered_at_epoch_ms,active_ms,hidden_ms,idle_ms,hidden_count,blur_count,had_background,is_valid,invalid_reason,created_at
004e9278-00b0-4927-9caa-1931619f048d,0d82891c-9584-4cdf-9d42-f885c980e737,essay0002_sentence01,normal,manual,,EXPLANATION,1774335116897,1774335124551,7501,0,0,0,0,0,1,,2026-03-24T06:52:04.643Z
64da7786-1c76-4b40-81f9-1e0cdae87046,0d82891c-9584-4cdf-9d42-f885c980e737,essay0002_sentence02,normal,manual,,EXPLANATION,1774335124927,1774335157336,9502,0,22499,0,0,0,1,,2026-03-24T06:52:37.458Z
3adc7f2d-3f11-48ce-b8b8-046eb15ddb2a,0d82891c-9584-4cdf-9d42-f885c980e737,essay0002_sentence03,normal,manual,,EVALUATION,1774335157907,1774335166528,8501,0,0,0,0,0,1,,2026-03-24T06:52:46.733Z
99cd963c-012e-48ed-a79d-f128b8776506,0d82891c-9584-4cdf-9d42-f885c980e737,essay0002_sentence04,normal,manual,,RESPONSIBILITY,1774335167105,1774335174646,7501,0,0,0,0,0,1,,2026-03-24T06:52:54.753Z
a404868f-62dd-4748-9fd3-d73c253ed61d,0d82891c-9584-4cdf-9d42-f885c980e737,essay0002_sentence05,normal,manual,,APPLICATION,1774335175046,1774335196971,9501,0,12000,0,0,0,1,,2026-03-24T06:53:17.075Z
a56c1de2-5903-48b8-9d2b-f1e302bf4c83,0d82891c-9584-4cdf-9d42-f885c980e737,essay0003_sentence01,normal,manual,,RESPONSIBILITY,1774335202456,1774335214721,9502,0,2499,0,0,0,1,,2026-03-24T06:53:34.810Z
fcc2cb09-e98f-4471-94c1-4b5ea7855733,0d82891c-9584-4cdf-9d42-f885c980e737,essay0003_sentence02,normal,manual,,EVALUATION,1774335215098,1774335233987,9501,0,9000,0,0,0,1,,2026-03-24T06:53:54.079Z
1c183d08-c6dd-489c-a534-30041ce3c036,0d82891c-9584-4cdf-9d42-f885c980e737,essay0003_sentence03,normal,manual,,EXPLANATION,1774335234370,1774335240513,6001,0,0,0,0,0,1,,2026-03-24T06:54:00.614Z
29d5af7f-b0f1-4f58-a475-0e0075a29ca1,0d82891c-9584-4cdf-9d42-f885c980e737,essay0003_sentence04,normal,manual,,APPLICATION,1774335240916,1774335248208,7000,0,0,0,0,0,1,,2026-03-24T06:54:08.329Z
c06bc3e8-0c4d-4685-a10a-f8638f9e3754,0d82891c-9584-4cdf-9d42-f885c980e737,essay0003_sentence05,normal,manual,,IMPLICATION,1774335248622,1774335261655,10003,0,2999,0,0,0,1,,2026-03-24T06:54:21.748Z
844c8c69-3050-4d51-9c37-986a12706e16,1013ec61-a406-4db5-8467-015dbc5b06d4,essay0001_sentence01,normal,manual,,EXPLANATION,1774334991660,1774335006278,14523,0,0,0,0,0,1,,2026-03-24T06:50:06.365Z
bedd9cab-3b4d-44f4-b18c-e53507415fe0,1013ec61-a406-4db5-8467-015dbc5b06d4,essay0001_sentence02,normal,manual,,EXPLANATION,1774335006689,1774335013982,7014,0,0,0,0,0,1,,2026-03-24T06:50:14.056Z
50e83b76-4440-4ff5-a956-d62d02aca1e3,1013ec61-a406-4db5-8467-015dbc5b06d4,essay0001_sentence03,normal,manual,,APPLICATION,1774335014397,1774335021602,7011,0,0,0,0,0,1,,2026-03-24T06:50:21.725Z
792161a2-7ef9-49da-b6c8-31fd4d3ac924,1013ec61-a406-4db5-8467-015dbc5b06d4,essay0001_sentence04,normal,manual,,EVALUATION,1774335022135,1774335027892,5512,0,0,0,0,0,1,,2026-03-24T06:50:28.055Z
ccd862c4-96aa-418c-ad16-ae1e9fe99e0f,1013ec61-a406-4db5-8467-015dbc5b06d4,essay0001_sentence05,normal,manual,,IMPLICATION,1774335028526,1774335031686,3006,0,0,0,0,0,1,,2026-03-24T06:50:31.827Z
c93d90a1-a1cc-433e-a956-f40610349fee,1013ec61-a406-4db5-8467-015dbc5b06d4,essay0002_sentence01,normal,manual,,EXPLANATION,1774335053340,1774335061854,8014,0,0,0,0,0,1,,2026-03-24T06:51:01.952Z
2949401a-70e8-48cb-8ec5-6bb45226e3db,1013ec61-a406-4db5-8467-015dbc5b06d4,essay0002_sentence02,normal,manual,,IMPLICATION,1774335062443,1774335072919,9520,0,501,0,0,0,1,,2026-03-24T06:51:13.000Z
43a36299-ba75-48cb-a337-12bdf5005e00,1013ec61-a406-4db5-8467-015dbc5b06d4,essay0002_sentence03,normal,manual,,EVALUATION,1774335073320,1774335076665,3007,0,0,0,0,0,1,,2026-03-24T06:51:16.723Z
6d997efe-ae02-4d04-aa2a-f57d470884dc,1013ec61-a406-4db5-8467-015dbc5b06d4,essay0002_sentence04,normal,manual,,RESPONSIBILITY,1774335077180,1774335089360,9520,0,2506,0,0,0,1,,2026-03-24T06:51:29.596Z
