session_id,unit_id,phase,task,status,ordering
05e182f7-9bdd-4ced-aa6b-8fbb7e733403,essay0001_sentence04,normal,manual,done,3
05e182f7-9bdd-4ced-aa6b-8fbb7e733403,essay0001_sentence05,active,manual,todo,4
05e182f7-9bdd-4ced-aa6b-8fbb7e733403,essay0001_sentence05,normal,llm,todo,4
05e182f7-9bdd-4ced-aa6b-8fbb7e733403,essay0001_sentence05,normal,manual,done,4
05e182f7-9bdd-4ced-aa6b-8fbb7e733403,essay0002_sentence01,normal,llm,todo,5
05e182f7-9bdd-4ced-aa6b-8fbb7e733403,essay0002_sentence01,normal,manual,todo,5
05e182f7-9bdd-4ced-aa6b-8fbb7e733403,essay0002_sentence02,normal,llm,todo,6
05e182f7-9bdd-4ced-aa6b-8fbb7e733403,essay0002_sentence02,normal,manual,todo,6
05e182f7-9bdd-4ced-aa6b-8fbb7e733403,essay0002_sentence03,normal,llm,todo,7
05e182f7-9bdd-4ced-aa6b-8fbb7e733403,essay0002_sentence03,normal,manual,todo,7
05e182f7-9bdd-4ced-aa6b-8fbb7e733403,essay0002_sentence04,normal,llm,todo,8
05e182f7-9bdd-4ced-aa6b-8fbb7e733403,essay0002_sentence04,normal,manual,todo,8
05e182f7-9bdd-4ced-aa6b-8fbb7e733403,essay0002_sentence05,normal,llm,todo,9
05e182f7-9bdd-4ced-aa6b-8fbb7e733403,essay0002_sentence05,normal,manual,todo,9
05e182f7-9bdd-4ced-aa6b-8fbb7e733403,essay0003_sentence01,normal,llm,todo,10
05e182f7-9bdd-4ced-aa6b-8fbb7e733403,essay0003_sentence01,normal,manual,todo,10
05e182f7-9bdd-4ced-aa6b-8fbb7e733403,essay0003_sentence02,normal,llm,todo,11
05e182f7-9bdd-4ced-aa6b-8fbb7e733403,essay0003_sentence02,normal,manual,todo,11
05e182f7-9bdd-4ced-aa6b-8fbb7e733403,essay0003_sentence03,normal,llm,todo,12
05e182f7-9bdd-4ced-aa6b-8fbb7e733403,essay0003_sentence03,normal,manual,todo,12
05e182f7-9bdd-4ced-aa6b-8fbb7e733403,essay0003_sentence04,normal,llm,todo,13
05e182f7-9bdd-4ced-aa6b-8fbb7e733403,essay0003_sentence04,normal,manual,todo,13
05e182f7-9bdd-4ced-aa6b-8fbb7e733403,essay0003_sentence05,normal,llm,todo,14
05e182f7-9bdd-4ced-aa6b-8fbb7e733403,essay0003_sentence05,normal,manual,todo,14
060f71c9-769a-428b-8bba-d680044fccdd,essay0001_sentence01,active,manual,todo,0
060f71c9-769a-428b-8bba-d680044fccdd,essay0001_sentence01,normal,llm,todo,0
060f71c9-769a-428b-8bba-d680044fccdd,essay0001_sentence01,normal,manual,todo,0
060f71c9-769a-428b-8bba-d680044fccdd,essay0001_sentence02,active,manual,todo,1
